SKU*,Name,Google Shopping Title,Google Product Category,PLA Product Category,PLA Product Type,Show on Google Feed
1284,Drinkwell Stoneware Pagoda Fountain - Himalayan Blue,PetSafe Drinkwell Stoneware Pagoda Fountain - Himalayan Blue,Animals & Pet Supplies > Pet Supplies,Drinkwell Fountains ,PetSafe,y
1285,Drinkwell Stoneware Pagoda Fountain - Taupe,PetSafe Drinkwell Stoneware Pagoda Fountain - Taupe,Animals & Pet Supplies > Pet Supplies,Drinkwell Fountains ,PetSafe,y
1293,Drinkwell Stainless Steel 360 Pet Fountain,PetSafe Drinkwell Drinkwell Stainless Steel 360 Pet Fountain,Animals & Pet Supplies > Pet Supplies,Drinkwell Fountains ,PetSafe,y
1600,Julius K9 IDC Powerharness - World's Best Harness,Best Dog Harness in AUS! Julius K9 IDC Powerharness,Animals & Pet Supplies > Pet Supplies > Dog Supplies,DOG HARNESS,DOG HARNESS,y
16412,Julius K9 Seatbelt Adaptor - Size 1 - Blue - 16SGA-B-1,Julius K9 Mobility Control Car Tether Leash - Size 1 - Blue,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Julius K9,Julius K9,y
16413,Julius K9 Seatbelt Adaptor - Size 1 - Black - 16SGA-P-1,Julius K9 Mobility Control Car Tether Leash - Size 1 - Black,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Julius K9,Julius K9,y
16414,Julius K9 Seatbelt Adaptor - Size 1 - Pink - 16SGA-PN-1,Julius K9 Mobility Control Car Tether Leash - Size 1 - Pink,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Julius K9,Julius K9,y
16415,Julius K9 Seatbelt Adaptor - Size 1 - Red - 16SGA-R-1,Julius K9 Mobility Control Car Tether Leash - Size 1 - Red,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Julius K9,Julius K9,y
16422,Julius K9 Seatbelt Adaptor - Size 2 - Blue - 16SGA-B-2,Julius K9 Mobility Control Car Tether Leash - Size 2 - Blue,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Julius K9,Julius K9,y
16424,Julius K9 Seatbelt Adaptor - Size 2 - Pink - 16SGA-PN-2,Julius K9 Mobility Control Car Tether Leash - Size 2 - Pink,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Julius K9,Julius K9,y
16425,Julius K9 Seatbelt Adaptor - Size 2 - Red - 16SGA-R-2,Julius K9 Mobility Control Car Tether Leash - Size 2 - Pink,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Julius K9,Julius K9,y
654,PetSafe Healthy Pet Simply Feed Automatic Feeder,Healthy Pet Simply Feed 12 Meal Automatic Pet Feeder by PetSafe,Animals & Pet Supplies > Pet Supplies,Auto Pet Feeder,PetSafe ,y
84405,Busy Buddy - Elephunk - Small,Busy Buddy Elephunk,Animals & Pet Supplies > Pet Supplies > Dog Supplies,,,y
84408,Busy Buddy Hippster - Med/Lge,Busy Buddy Hippster - Small,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Busy Buddy,,y
970,PetSafe Automatic Ball Launcher,PetSafe Automatic Dog Ball Launcher & Fetch Machine,Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Toys,Automatic Ball Launcher,PetSafe,y
CEN260C,MidWest Contour Double Door Dog Crate,MidWest Contour Double Door Dog Crate,Animals & Pet Supplies > Pet Supplies > Dog Supplies,MidWest,,y
CEN261C,"MidWest Contour Double Door Dog Crate - 24""  / 60cm - 824DD","MidWest Contour Double Door Dog Crate - 24"" / 60cm",Animals & Pet Supplies > Pet Supplies > Dog Supplies,MidWest,,y
CEN262C,"MidWest Contour Double Door Dog Crate - 30"" / 75cm - 830DD","MidWest Contour Double Door Dog Crate - 30"" / 75cm",Animals & Pet Supplies > Pet Supplies > Dog Supplies,MidWest,,y
CEN263C,"MidWest Contour Double Door Dog Crate - 36"" / 90cm - 836DD","MidWest Contour Double Door Dog Crate - 36"" / 90cm",Animals & Pet Supplies > Pet Supplies > Dog Supplies,MidWest,,y
CEN264C,"MidWest Contour Double Door Dog Crate - 42"" / 105cm - 842DD","MidWest Contour Double Door Dog Crate - 42"" / 105cm",Animals & Pet Supplies > Pet Supplies > Dog Supplies,MidWest,,y
CEN265C,"MidWest Contour Double Door Dog Crate - 48"" / 120cm - 848DD","MidWest Contour Double Door Dog Crate - 48"" / 120cm",Animals & Pet Supplies > Pet Supplies > Dog Supplies,MidWest,,y
CEN351,HoundHouse Original Green Canvas Kennel - Small,HoundHouse Dog Kennel - Small,Animals & Pet Supplies > Pet Supplies > Dog Supplies,HoundHouse,,y
CEN352,HoundHouse Original Canvas Kennel - Medium,HoundHouse Dog Kennel - Medium,Animals & Pet Supplies > Pet Supplies > Dog Supplies,HoundHouse,,y
CEN353,HoundHouse Original Canvas Kennel - Green Large,HoundHouse Dog Kennel - Large,Animals & Pet Supplies > Pet Supplies > Dog Supplies,HoundHouse,,y
CEN354,HoundHouse Original Canvas Kennel - Green Extra Large,HoundHouse Dog Kennel - Extra Large,Animals & Pet Supplies > Pet Supplies > Dog Supplies,HoundHouse,,y
CEN514,Spunky Pup Fly & Fetch Duck,Spunky Pup Fly & Fetch,,,,y
CEN515,Spunky Pup Ball Blaster,Spunky Pup Ball Blaster,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Spunky Pup,Spunky Pup,y
CEN525,West Paw Zwig,West Paw Zwig,Animals & Pet Supplies > Pet Supplies > Dog Supplies,West Paw,West Paw,y
CEN526,West Paw Qwizl - Small | 13.5cm,West Paw Qwizl | Small,Animals & Pet Supplies > Pet Supplies > Dog Supplies,West Paw,,y
CEN527,West Paw Qwizl - Large | 16.7cm,West Paw Qwizl | Large,Animals & Pet Supplies > Pet Supplies > Dog Supplies,West Paw,,y
CEN541,West Paw Wox,West Paw Wox,Animals & Pet Supplies > Pet Supplies > Dog Supplies,West Paw,West Paw,y
CruiserParent,K9 Cruiser Bowl,K9 Cruiser Pet Travel Bowl - 2.5 Litre Anti-Spill Pet Water Bowl,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Pet Travel Bowl,K9 Cruiser Bowl,y
GGL101,GingerLead Harness - Mini,GingerLead Dog Support & Rehabilitation Harness – Mini Size,Animals & Pet Supplies > Pet Supplies,Pet Rehab Harness,GingerLead,y
GGL102,GingerLead Harness - Small Unisex,GingerLead Dog Support & Rehabilitation Harness – Small Male,Animals & Pet Supplies > Pet Supplies,Pet Rehab Harness,GingerLead,y
GGL103,GingerLead Small Female,GingerLead Dog Support & Rehabilitation Harness – Small Female,Animals & Pet Supplies > Pet Supplies,Pet Rehab Harness,GingerLead,y
GGL104,GingerLead Medium/Large Unisex,GingerLead Dog Support & Rehabilitation Harness – Medium to Large Male,Animals & Pet Supplies > Pet Supplies,Pet Rehab Harness,GingerLead,y
GGL105,GingerLead Medium/Large Female,"GingerLead Dog Support & Rehabilitation Harness, Medium-Large Female",Animals & Pet Supplies > Pet Supplies,Pet Rehab Harness,GingerLead,y
GGL106,GingerLead Tall Male,GingerLead Dog Support & Rehabilitation Harness - Tall Male Size,Animals & Pet Supplies > Pet Supplies,Pet Rehab Harness,GingerLead,y
GGL107,GingerLead Tall Female,GingerLead Dog Support & Rehabilitation Harness - Tall Female Size,Animals & Pet Supplies > Pet Supplies,Pet Rehab Harness,GingerLead,y
OME100,Omega Paw Roll'N Clean - Regular - NEW Model!,Omega Paw Roll'N Clean Cat Litter Box,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Boxes,,,y
OME110,Roll'N Clean Litter Box LARGE - Taupe,Omega Paw Roll'N Clean Cat Litter Box Large Self Cleaning Litter Box,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Boxes,Self Cleaning Litterbox ,Omega Paw,y
OME210,Omega Paw Scratch Box Everest with Cat Toy,"Omega Paw Scratch Box Everest, the Purrfect Cat Toy & Scratching Post!",Animals & Pet Supplies > Pet Supplies > Cat Supplies,Cat Toys,Omega Paw,y
OME280,Omega Paw Cat Arch Groomer - with Pom Pom Toy!,"Cat Arch Groomer  - Great for Your Cat's Health, Coat and Play",Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Toys,Cat Toys,Omega Paw,y
POW100,Clever Cat Top Entry Litter Box,CleverCat Top Entry Cat Litter Box – Compare to Petmate & Save!,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Boxes,Top Entry Litterbox,CleverCat,y
RPG01,ScoopFree® Original Self-Cleaning Litter Box - PAL19-14657,ScoopFree Self Cleaning Cat Litter Box. Auto Clean Kitty Litter Tray,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Boxes,Self Cleaning Litterbox ,ScoopFree,y
RPG01E,ScoopFree® Original Self-Cleaning Litter Box - PAL19-14657 ,ScoopFree Original Self Cleaning Litter Box for Cats.   Fully Automatic Kitty Litter that lasts for up to 30 Days!  Scoop Free Original and Best.,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Boxes,Scoop Free,Scoop Free,y
RPG01_1,ScoopFree Replacement Litter Tray - PAC19-14262,ScoopFree Replacement Litter Trays - Auto Cat Litter Box 30-day Refill,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Boxes,Replacement Litter Trays,ScoopFree,y
RPG01_3,ScoopFree Litter Tray Discount 3 Pack - PAC19-14264,3 x ScoopFree Tray Replacement Litter,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Boxes,Replacement Litter Trays,ScoopFree,y
RPG01_6,ScoopFree Litter Tray Discount 6 Pack - PAC19-14262,6 x ScoopFree Tray Replacement Litter,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Boxes,Replacement Litter Trays,ScoopFree,y
RPG02,ScoopFree® Ultra Self-Cleaning Litter Box - PAL19-14656,ScoopFree Ultra Self Cleaning Cat Litter Box. Auto Clean Litter Tray,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Boxes,Self Cleaning Litterbox ,ScoopFree,y
RPG02E,ScoopFree® Ultra Self-Cleaning Litter Box - PAL19-14656 ,ScoopFree Ultra Self Cleaning Litter Box for Cats.  Fully Automatic Kitty Litter trays that Work. PAL00-14243  ,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Boxes,Scoop Free,Scoop Free,y
RPG03,The Pet Loo - 'Kitty Kat' - Small,"Pet Loo Small Original & Best Dog Toilet, For Unit, Patio & Indoor Use",Animals & Pet Supplies > Pet Supplies,Pet Loo,Pet Loo,y
